"";"uzovi";"concern";"verz";"polisnr";"jaar";"label";"Naammodelovereenkomst";"premie";"soortpolis";"Onlinedeclareren";"Onlinedeclarerenverplicht";"viaappdeclareren";"X900";"Internetformulier";"Internetapotheek";"MSZ_verg";"GGZ_verg";"FYSIO_verg";"APO_verg";"CGApo";"CGFysio";"CGZbc";"CGZiekenhuis";"AanbiederID"
"13";7119;"CZ";"OWM CZ GROEP ZORGVERZEKERAAR U.A.";14;"J2016";"CZ";"CZ Zorg op maatpolis (Natura)";1259,4;"Natura";"ja";"nee";"ja";"nee";"ja";"nee";0,75;0,75;0,75;0,75;0,92;0,71;0,6;0,99;102
"14";7119;"CZ";"OWM CZ GROEP ZORGVERZEKERAAR U.A.";15;"J2016";"CZ";"CZ Zorgkeuzepolis (Restitutie)";1328,4;"Restitutie";"ja";"nee";"ja";"nee";"ja";"nee";1;1;1;1;1;1;1;1;102
"15";104;"CZ";"DELTA LLOYD ZORGVERZEKERING N.V.";19;"J2016";"Delta Lloyd";"Delta Lloyd Zorgverzekering Restitutie";1290;"Restitutie";"ja";"nee";"ja";"nee";"ja";"nee";1;1;1;1;1;1;1;1;102
"22";201;"CZ";"OHRA ZIEKTEKOSTENVERZEKERINGEN N.V.";33;"J2016";"Ohra";"OHRA Zorgverzekering restitutie";1264,44;"Restitutie";"ja";"nee";"ja";"nee";"nee";"nee";1;1;1;1;1;1;1;1;102
"23";7053;"CZ";"OHRA ZORGVERZEKERINGEN N.V.";34;"J2016";"Ohra";"OHRA Zorgverzekering restitutie";1264,44;"Restitutie";"ja";"nee";"ja";"nee";"nee";"nee";1;1;1;1;1;1;1;1;102
"41";7119;"CZ";"OWM CZ GROEP ZORGVERZEKERAAR U.A.";73;"J2016";"CZdirect";"CZ Direct (Natura Direct)";1139,4;"Natura";"ja";"nee";"ja";"nee";"ja";"ja";0,65;0,65;0,65;0,65;0,92;0,71;0,6;0,99;102
"43";104;"CZ";"DELTA LLOYD ZORGVERZEKERING N.V.";78;"J2016";"Delta Lloyd";"Delta Lloyd Zorgverzekering Natura";1184,4;"Natura";"ja";"nee";"ja";"nee";"nee";"nee";0,75;0,75;0,75;0,75;0,92;0,71;0,6;0,99;102
"59";7119;"CZ";"OWM CZ GROEP ZORGVERZEKERAAR U.A.";97;"J2016";"CZ";"CZ Zorgbewustpolis (Natura Select)";1215,6;"Natura";"ja";"nee";"ja";"nee";"ja";"nee";0,65;0,65;0,65;0,65;0,92;0,71;0,6;0,99;102
"75";7119;"CZ";"OWM CZ GROEP ZORGVERZEKERAAR U.A.";14;"J2017";"CZ";"CZ Zorg op maatpolis (Natura)";1354,2;"Natura";"ja";"nee";"ja";"nee";"ja";"nee";0,75;0,75;0,75;0,75;0,94;0,73;0,42;1;102
"76";7119;"CZ";"OWM CZ GROEP ZORGVERZEKERAAR U.A.";15;"J2017";"CZ";"CZ Zorgkeuzepolis (Restitutie)";1428,6;"Restitutie";"ja";"nee";"ja";"nee";"ja";"nee";1;1;1;1;1;1;1;1;102
"77";104;"CZ";"DELTA LLOYD ZORGVERZEKERING N.V.";19;"J2017";"Delta Lloyd";"Delta Lloyd Zorgverzekering Restitutie";1389,96;"Restitutie";"ja";"nee";"ja";"nee";"ja";"nee";1;1;1;1;1;1;1;1;102
"84";201;"CZ";"OHRA ZIEKTEKOSTENVERZEKERINGEN N.V.";33;"J2017";"Ohra";"OHRA Zorgverzekering restitutie";1363,68;"Restitutie";"ja";"nee";"ja";"nee";"ja";"nee";1;1;1;1;1;1;1;1;102
"85";7053;"CZ";"OHRA ZORGVERZEKERINGEN N.V.";34;"J2017";"Ohra";"OHRA Zorgverzekering restitutie";1363,68;"Restitutie";"ja";"nee";"ja";"nee";"ja";"nee";1;1;1;1;1;1;1;1;102
"103";7119;"CZ";"OWM CZ GROEP ZORGVERZEKERAAR U.A.";73;"J2017";"CZdirect";"CZ Direct (Natura Direct)";1228,2;"Natura";"ja";"nee";"ja";"nee";"ja";"nee";0,65;0,65;0,65;0,65;0,94;0,73;0,42;1;102
"117";7119;"CZ";"OWM CZ GROEP ZORGVERZEKERAAR U.A.";97;"J2017";"CZ";"CZ Zorgbewustpolis (Natura Select)";1306,8;"Natura";"ja";"nee";"ja";"nee";"ja";"nee";0,7;0,7;0,7;0,7;0,94;0,73;0,42;1;102
"132";7119;"CZ";"OWM CZ GROEP ZORGVERZEKERAAR U.A.";14;"J2018";"CZ";"CZ Zorg op maatpolis (Natura)";1395;"Natura";"ja";"nee";"ja";"nee";"ja";"nee";0,75;0,75;0,75;0,75;0,93;0,71;0,4;1;102
"133";7119;"CZ";"OWM CZ GROEP ZORGVERZEKERAAR U.A.";15;"J2018";"CZ";"CZ Zorgkeuzepolis (Restitutie)";1471,2;"Restitutie";"ja";"nee";"ja";"nee";"ja";"nee";1;1;1;1;1;1;1;1;102
"134";104;"CZ";"DELTA LLOYD ZORGVERZEKERING N.V.";19;"J2018";"Delta Lloyd";"Delta Lloyd Zorgverzekering Restitutie";1434,96;"Restitutie";"ja";"nee";"ja";"nee";"ja";"nee";1;1;1;1;1;1;1;1;102
"141";201;"CZ";"OHRA ZIEKTEKOSTENVERZEKERINGEN N.V.";33;"J2018";"Ohra";"OHRA Zorgverzekering restitutie";1408,08;"Restitutie";"ja";"nee";"ja";"nee";"nee";"nee";1;1;1;1;1;1;1;1;102
"142";7053;"CZ";"OHRA ZORGVERZEKERINGEN N.V.";34;"J2018";"Ohra";"OHRA Zorgverzekering restitutie";1408,08;"Restitutie";"ja";"nee";"ja";"nee";"nee";"nee";1;1;1;1;1;1;1;1;102
"160";7119;"CZ";"OWM CZ GROEP ZORGVERZEKERAAR U.A.";73;"J2018";"CZdirect";"CZ Direct (Natura Direct)";1265,4;"Natura";"ja";"nee";"ja";"nee";"ja";"nee";0,65;0,65;0,65;0,65;0,93;0,71;0,4;1;102
"173";7119;"CZ";"OWM CZ GROEP ZORGVERZEKERAAR U.A.";97;"J2018";"CZ";"CZ Zorgbewustpolis (Natura Select)";1345,8;"Natura";"ja";"nee";"ja";"nee";"ja";"nee";0,7;0,7;0,7;0,7;0,93;0,71;0,4;1;102
