"";"uzovi";"concern";"verz";"polisnr";"jaar";"label";"Naammodelovereenkomst";"premie";"soortpolis";"Onlinedeclareren";"Onlinedeclarerenverplicht";"viaappdeclareren";"X900";"Internetformulier";"Internetapotheek";"MSZ_verg";"GGZ_verg";"FYSIO_verg";"APO_verg";"CGApo";"CGFysio";"CGZbc";"CGZiekenhuis";"AanbiederID"
"3";3332;"Menzis";"MENZIS ZORGVERZEKERAAR N.V.";102;"J2016";"Hema";"Hema Zorgverzekering";1164;"Combinatie";"ja";"ja";"ja";"ja";"ja";"nee";0,75;0,75;0,75;0,75;0,89;0,72;0,53;1;104
"4";3332;"Menzis";"MENZIS ZORGVERZEKERAAR N.V.";103;"J2016";"Menzis";"Menzis Basis Voordelig";1089;"Natura";"ja";"nee";"ja";"nee";"ja";"nee";0,75;0,75;0,65;0,65;0,89;0,72;0,53;1;104
"20";3332;"Menzis";"MENZIS ZORGVERZEKERAAR N.V.";31;"J2016";"Menzis";"Menzis Basis";1284;"Natura";"ja";"nee";"ja";"nee";"ja";"nee";0,75;0,75;0,75;0,75;0,89;0,72;0,53;1;104
"21";3332;"Menzis";"MENZIS ZORGVERZEKERAAR N.V.";32;"J2016";"Menzis";"Menzis Basis Vrij";1317;"Restitutie";"ja";"nee";"ja";"nee";"ja";"nee";1;1;1;1;1;1;1;1;104
"29";3333;"Menzis";"ANDERZORG N.V.";5;"J2016";"Anderzorg";"Anderzorg Basis";1116;"Natura";"ja";"nee";"ja";"ja";"ja";"nee";0,75;0,75;0,75;0,75;0,89;0,72;0,53;1;104
"45";7054;"Menzis";"AZIVO ZORGVERZEKERAAR N.V.";8;"J2016";"Azivo";"Azivo Basispolis";1296;"Natura";"ja";"nee";"ja";"nee";"ja";"nee";0,75;0,75;0,75;0,75;0,89;0,72;0,53;1;104
"64";3332;"Menzis";"MENZIS ZORGVERZEKERAAR N.V.";102;"J2017";"Hema";"Hema Zorgverzekering";1296;"Combinatie";"ja";"ja";"ja";"ja";"ja";"nee";0,75;0,75;0,75;0,75;1;0,75;0,41;1;104
"65";3332;"Menzis";"MENZIS ZORGVERZEKERAAR N.V.";103;"J2017";"Menzis";"Menzis Basis Voordelig";1236;"Natura";"ja";"nee";"ja";"nee";"ja";"nee";0,65;0,65;0,65;0,65;1;0,75;0,41;1;104
"82";3332;"Menzis";"MENZIS ZORGVERZEKERAAR N.V.";31;"J2017";"Menzis";"Menzis Basis";1428;"Natura";"ja";"nee";"ja";"nee";"ja";"nee";0,75;0,75;0,75;0,75;1;0,75;0,41;1;104
"83";3332;"Menzis";"MENZIS ZORGVERZEKERAAR N.V.";32;"J2017";"Menzis";"Menzis Basis Vrij";1464;"Restitutie";"ja";"nee";"ja";"nee";"ja";"nee";1;1;1;1;1;1;1;1;104
"91";3333;"Menzis";"ANDERZORG N.V.";5;"J2017";"Anderzorg";"Anderzorg Basis";1224;"Natura";"ja";"nee";"ja";"nee";"ja";"nee";0,65;0,65;0,65;0,65;1;0,75;0,41;1;104
"120";3332;"Menzis";"MENZIS ZORGVERZEKERAAR N.V.";102;"J2018";"Hema";"Hema Zorgverzekering";1296;"Combinatie";"ja";"ja";"ja";"nee";"ja";"nee";0,75;0,75;0,75;0,75;0,88;0,71;0,58;1;104
"121";3332;"Menzis";"MENZIS ZORGVERZEKERAAR N.V.";103;"J2018";"Menzis";"Menzis Basis Voordelig";1236;"Natura";"ja";"nee";"ja";"nee";"ja";"nee";0,65;0,65;0,65;0,65;0,88;0,71;0,58;1;104
"139";3332;"Menzis";"MENZIS ZORGVERZEKERAAR N.V.";31;"J2018";"Menzis";"Menzis Basis";1428;"Natura";"ja";"nee";"ja";"nee";"ja";"nee";0,75;0,75;0,75;0,75;0,88;0,71;0,58;1;104
"140";3332;"Menzis";"MENZIS ZORGVERZEKERAAR N.V.";32;"J2018";"Menzis";"Menzis Basis Vrij";1464;"Restitutie";"ja";"nee";"ja";"nee";"ja";"nee";1;1;1;1;1;1;1;1;104
"148";3333;"Menzis";"ANDERZORG N.V.";5;"J2018";"Anderzorg";"Anderzorg Basis";1224;"Natura";"ja";"nee";"ja";"nee";"ja";"nee";0,65;0,65;0,65;0,65;0,88;0,71;0,58;1;104
