"";"uzovi";"concern";"verz";"polisnr";"jaar";"label";"Naammodelovereenkomst";"premie";"soortpolis";"Onlinedeclareren";"Onlinedeclarerenverplicht";"viaappdeclareren";"X900";"Internetformulier";"Internetapotheek";"MSZ_verg";"GGZ_verg";"FYSIO_verg";"APO_verg";"CGApo";"CGFysio";"CGZbc";"CGZiekenhuis";"AanbiederID"
"7";7032;"Eno";"ENO ZORGVERZEKERAAR N.V.";106;"J2016";"ZorgDirect";"Salland ZorgDirect Basisverzekering";1355,4;"Natura";"ja";"nee";"ja";"nee";"ja";"nee";0,75;0,75;0,75;0,75;0,88;0,7;0,52;1;105
"12";7032;"Eno";"ENO ZORGVERZEKERAAR N.V.";110;"J2016";"HollandZorg";"HollandZorg Basisverzekering";1319,4;"Combinatie";"ja";"nee";"ja";"nee";"ja";"nee";0,75;0,75;1;0,75;0,88;1;0,52;1;105
"16";7029;"DSW-SH";"OWM DSW ZORGVERZEKERAAR U.A.";20;"J2016";"DSW, inTwente";"DSW polisvoorwaarden";1185;"Restitutie";"ja";"nee";"ja";"nee";"ja";"nee";1;1;1;1;1;1;1;1;105
"24";3343;"ONVZ";"ONVZ ZIEKTEKOSTENVERZEKERAAR N.V.";39;"J2016";"ONVZ, PNOzorg, VvAA";"ONVZ Vrije Keuze Basisverzekering";1279,8;"Restitutie";"ja";"nee";"ja";"nee";"ja";"nee";1;1;1;1;1;1;1;1;105
"26";7032;"Eno";"ENO ZORGVERZEKERAAR N.V.";42;"J2016";"Salland";"Salland Basisverzekering";1355,4;"Natura";"ja";"nee";"ja";"nee";"ja";"nee";0,9;0,9;0,9;0,9;0,88;0,7;0,52;1;105
"27";7037;"DSW-SH";"STAD HOLLAND ZORGVERZEKERAAR OWM U.A.";44;"J2016";"Stad Holland";"Stad Holland polisvoorwaarden";1224;"Restitutie";"ja";"nee";"ja";"nee";"ja";"nee";1;1;1;1;1;1;1;1;105
"36";7085;"Zorg&Zekerheid";"OWM ZORGVERZEKERAAR ZORG EN ZEKERHEID U.A.";57;"J2016";"Zorg en Zekerheid";"Zorg en Zekerheid Zorg Vrij Polis";1313,4;"Restitutie";"ja";"nee";"ja";"nee";"ja";"nee";1;1;1;1;1;1;1;1;105
"37";7085;"Zorg&Zekerheid";"OWM ZORGVERZEKERAAR ZORG EN ZEKERHEID U.A.";58;"J2016";"Zorg en Zekerheid";"Zorg en Zekerheid Zorg Zeker Polis";1283,4;"Natura";"ja";"nee";"ja";"nee";"ja";"nee";0,75;0,75;0,75;0,75;0,85;0,62;0,38;1;105
"49";403;"ASR";"ASR BASIS ZIEKTEKOSTENVERZEKERINGEN N.V.";83;"J2016";"Ditzo";"Ditzo Basisverzekering";1126,2;"Restitutie";"ja";"nee";"ja";"nee";"nee";"nee";1;0,9;1;1;1;1;1;1;105
"50";7085;"Zorg&Zekerheid";"OWM ZORGVERZEKERAAR ZORG EN ZEKERHEID U.A.";84;"J2016";"Zorg en Zekerheid";"Zorg en Zekerheid Zorg Gemak Polis";1180,8;"Combinatie";"ja";"nee";"ja";"nee";"ja";"nee";0,75;0,75;0,75;0,75;0,85;0,62;0,38;1;105
"58";403;"ASR";"ASR BASIS ZIEKTEKOSTENVERZEKERINGEN N.V.";96;"J2016";"Amersfoortse";"Amersfoortse Flexibel (restitutie)";1295,4;"Restitutie";"ja";"nee";"nee";"nee";"nee";"nee";1;0,9;1;1;1;1;1;1;105
"68";7032;"Eno";"ENO ZORGVERZEKERAAR N.V.";106;"J2017";"ZorgDirect";"ZorgDirect Basisverzekering";1379,4;"Natura";"ja";"nee";"ja";"nee";"ja";"nee";0,75;0,75;0,75;0,75;0,91;0,76;0,51;0,99;105
"73";7032;"Eno";"ENO ZORGVERZEKERAAR N.V.";110;"J2017";"HollandZorg";"HollandZorg Basisverzekering";1379,4;"Combinatie";"ja";"nee";"ja";"nee";"ja";"nee";0,75;0,75;0,75;0,75;0,91;0,76;0,51;0,99;105
"78";7029;"DSW-SH";"OWM DSW ZORGVERZEKERAAR U.A.";20;"J2017";"DSW, inTwente";"DSW polisvoorwaarden";1296;"Combinatie";"ja";"nee";"ja";"nee";"ja";"nee";1;1;1;1;1;1;1;1;105
"86";3343;"ONVZ";"ONVZ ZIEKTEKOSTENVERZEKERAAR N.V.";39;"J2017";"ONVZ, PNOzorg, VvAA zorgverzekering";"ONVZ Vrije Keuze Basisverzekering";1390,92;"Restitutie";"ja";"nee";"ja";"nee";"ja";"nee";1;1;1;1;1;1;1;1;105
"88";7032;"Eno";"ENO ZORGVERZEKERAAR N.V.";42;"J2017";"Salland";"Salland Basisverzekering";1355,4;"Natura";"ja";"nee";"ja";"nee";"ja";"nee";0,9;0,9;0,9;0,9;0,91;0,76;0,51;0,99;105
"89";7037;"DSW-SH";"STAD HOLLAND ZORGVERZEKERAAR OWM U.A.";44;"J2017";"Stad Holland";"Stad Holland polisvoorwaarden";1344;"Restitutie";"ja";"nee";"ja";"nee";"ja";"nee";1;1;1;1;1;1;1;1;105
"98";7085;"Zorg&Zekerheid";"OWM ZORGVERZEKERAAR ZORG EN ZEKERHEID U.A.";57;"J2017";"Zorg en Zekerheid";"Zorg en Zekerheid Zorg Vrij Polis";1427,4;"Restitutie";"ja";"nee";"ja";"nee";"ja";"nee";1;1;1;1;1;1;1;1;105
"99";7085;"Zorg&Zekerheid";"OWM ZORGVERZEKERAAR ZORG EN ZEKERHEID U.A.";58;"J2017";"Zorg en Zekerheid";"Zorg en Zekerheid Zorg Zeker Polis";1391,4;"Natura";"ja";"nee";"ja";"nee";"ja";"nee";0,75;0,75;0,75;0,75;0,86;0,66;0,53;1;105
"109";403;"ASR";"ASR BASIS ZIEKTEKOSTENVERZEKERINGEN N.V.";83;"J2017";"Ditzo";"Ditzo Basisverzekering";1211,4;"Combinatie";"ja";"nee";"ja";"nee";"nee";"nee";1;1;1;1;1;1;1;1;105
"110";7085;"Zorg&Zekerheid";"OWM ZORGVERZEKERAAR ZORG EN ZEKERHEID U.A.";84;"J2017";"Zorg en Zekerheid";"Zorg en Zekerheid Zorg Gemak Polis";1255,2;"Combinatie";"ja";"nee";"ja";"nee";"ja";"nee";0,75;0,75;0,75;0,75;0,86;0,66;0,53;1;105
"116";403;"ASR";"ASR BASIS ZIEKTEKOSTENVERZEKERINGEN N.V.";96;"J2017";"Amersfoortse";"Amersfoortse Restitutie";1410;"Restitutie";"ja";"nee";"nee";"nee";"nee";"nee";1;1;1;1;1;1;1;1;105
