"";"uzovi";"concern";"verz";"polisnr";"jaar";"label";"Naammodelovereenkomst";"premie";"soortpolis";"Onlinedeclareren";"Onlinedeclarerenverplicht";"viaappdeclareren";"X900";"Internetformulier";"Internetapotheek";"MSZ_verg";"GGZ_verg";"FYSIO_verg";"APO_verg";"CGApo";"CGFysio";"CGZbc";"CGZiekenhuis";"AanbiederID"
"1";420;"VGZ";"N.V. VGZ CARES";10;"J2016";"De Goudse";"De Goudse Zorg Polis Ruime Keuze (Natura)";1314;"Natura";"nee";"nee";"nee";"ja";"ja";"nee";0,8;0,8;0,8;0,8;0,9;0,71;0,46;1;103
"2";420;"VGZ";"N.V. VGZ CARES";100;"J2016";"Besured";"Cares Natura Selectief (Besured Ruime Keuze)";1215,48;"Natura";"ja";"nee";"nee";"ja";"ja";"nee";0,8;0,8;0,8;0,8;0,9;0,71;0,46;1;103
"8";101;"VGZ";"N.V. UNIVÉ ZORG";107;"J2016";"Univé";"Univé Zorg Select Polis";1079,4;"Natura";"ja";"nee";"nee";"nee";"ja";"nee";0,7;0,7;0,7;0,7;0,72;0,71;0,46;1;103
"11";420;"VGZ";"N.V. VGZ CARES";11;"J2016";"De Goudse";"De Goudse Zorg Polis Eigen Keuze (Restitutie)";1367,4;"Restitutie";"nee";"nee";"nee";"ja";"ja";"nee";1;1;1;1;1;1;1;1;103
"18";9015;"VGZ";"VGZ voor de Zorg N.V.";29;"J2016";"IZZ";"IZZ Basisverzekering variant natura";1239,36;"Natura";"ja";"nee";"nee";"ja";"ja";"nee";1;1;0,8;0,8;0,9;0,71;1;1;103
"19";9015;"VGZ";"VGZ voor de Zorg N.V.";30;"J2016";"IZZ";"IZZ Basisverzekering variant restitutie";1292,64;"Restitutie";"ja";"nee";"nee";"ja";"ja";"nee";1;1;1;1;1;1;1;1;103
"28";736;"VGZ";"N.V. ZORGVERZEKERAAR UMC";47;"J2016";"UMC";"UMC Zorgverzekering";1186,8;"Restitutie";"ja";"nee";"nee";"ja";"nee";"nee";1;1;1;1;1;1;1;1;103
"30";101;"VGZ";"N.V. UNIVÉ ZORG";50;"J2016";"Univé";"Univé Zorg Geregeld polis";1284;"Natura";"ja";"nee";"nee";"nee";"ja";"nee";0,8;0,8;0,8;0,8;0,9;0,71;0,46;1;103
"31";101;"VGZ";"N.V. UNIVÉ ZORG";51;"J2016";"Univé, ZEKUR (Gewoon ZEKUR Zorg Vrij)";"Univé Zorg Vrij polis";1344;"Restitutie";"ja";"nee";"nee";"nee";"ja";"nee";1;1;1;1;1;1;1;1;103
"32";101;"VGZ";"N.V. UNIVÉ ZORG";52;"J2016";"Zorgzaam";"Univé Zorgzaam polis";1316,64;"Natura";"ja";"nee";"nee";"nee";"ja";"nee";0,9;0,9;0,9;0,9;0,9;0,71;0,46;1;103
"33";7095;"VGZ";"VGZ ZORGVERZEKERAAR N.V.";53;"J2016";"VGZ";"VGZ Ruime Keuze";1295,4;"Natura";"ja";"nee";"ja";"ja";"nee";"nee";0,8;0,8;0,8;0,8;0,9;0,71;0,46;1;103
"34";7095;"VGZ";"VGZ ZORGVERZEKERAAR N.V.";54;"J2016";"VGZ";"VGZ Eigen Keuze";1367,4;"Restitutie";"ja";"nee";"ja";"ja";"nee";"nee";1;1;1;1;1;1;1;1;103
"38";101;"VGZ";"N.V. UNIVÉ ZORG";65;"J2016";"ZEKUR";"Univé Gewoon ZEKUR Zorg";1032;"Natura";"ja";"nee";"nee";"nee";"ja";"nee";0,8;0,8;0,8;0,8;0,72;0,71;0,46;0,23;103
"42";699;"VGZ";"IZA ZORGVERZEKERAAR N.V.";74;"J2016";"IZA";"IZA GezondSamenPolis Restitutie";1312,8;"Restitutie";"ja";"nee";"nee";"ja";"ja";"nee";1;1;1;1;1;1;1;1;103
"48";7095;"VGZ";"VGZ ZORGVERZEKERAAR N.V.";82;"J2016";"Bewuzt";"VGZ Bewuzt Basis";1104;"Natura";"ja";"nee";"nee";"ja";"ja";"nee";0,7;0,7;0,7;0,7;0,72;0,71;0,46;1;103
